batch_id,season,ambient_temp_c,humidity_pct,core_temp_c,w_c_ratio,cement_content,curing_method,cure_hours,maturity_index,compressive_mpa,total_cost_inr,cost_per_mpa,demoulded,thermal_delta,log_maturity,season_enc,method_enc,cost_efficient,maturity_rate,heat_stress
0,Winter,15.25,61.2,28.45,0.517,409.7,Wet,24.01,764.9,39.86,11106.25,278.63,1,13.2,6.641051612915548,2,0,1,31.85755935027072,9.333
1,Summer,34.28,29.2,46.0,0.428,380.4,Steam,34.03,1706.1,48.52,16060.6,331.03,1,11.719999999999999,7.442551303386707,0,1,0,50.13517484572436,10.00976
2,Monsoon,29.25,83.7,50.09,0.493,388.2,Membrane,36.49,1812.4,44.57,16712.91,375.01,1,20.840000000000003,7.502958815211956,1,2,0,49.66840230200055,24.48225
3,Summer,37.88,29.0,46.29,0.503,394.0,Wet,44.74,2330.0,47.73,20690.18,433.5,1,8.409999999999997,7.754052639035757,0,0,0,52.07867679928476,10.985199999999999
4,Spring,30.83,43.0,47.01,0.464,370.8,Steam,28.19,1379.1,48.33,13306.22,275.35,1,16.18,7.229911239293994,3,1,1,48.921603405462925,13.256899999999998
5,Winter,17.14,42.9,33.61,0.441,432.9,Wet,17.07,604.0,35.65,7896.39,221.51,1,16.47,6.405228458030842,2,0,1,35.383714118336265,7.35306
6,Winter,10.0,38.6,29.67,0.444,351.4,Wet,33.81,1008.8,41.8,15639.23,374.12,1,19.67,6.9175075704248155,2,0,0,29.83732623484176,3.86
7,Spring,30.99,53.3,47.29,0.45,356.4,Wet,34.95,1717.4,46.87,16165.33,344.9,1,16.3,7.449148904314546,3,0,0,49.13876967095851,16.51767
8,Winter,10.0,67.8,21.76,0.546,434.9,Steam,13.46,348.3,36.02,6351.05,176.34,1,11.760000000000002,5.855931151812786,2,1,1,25.87667161961367,6.78
9,Spring,29.66,35.8,51.01,0.476,440.8,Wet,20.24,1018.6,42.88,9359.49,218.29,1,21.349999999999998,6.92716567250196,3,0,1,50.32608695652174,10.61828
10,Spring,36.11,58.2,49.4,0.532,412.4,Wet,19.86,1048.0,43.0,9187.03,213.64,1,13.29,6.955592608396297,3,0,1,52.769385699899296,21.016019999999997
11,Spring,26.95,43.0,36.06,0.434,392.7,Membrane,30.39,1261.3,41.7,13917.2,333.76,1,9.110000000000003,7.140690732758816,3,2,0,41.503784139519574,11.5885
12,Summer,45.78,33.5,59.84,0.44,374.4,Wet,26.54,1666.9,45.45,12273.87,270.07,1,14.060000000000002,7.419320629083128,0,0,1,62.807083647324795,15.336300000000001
13,Spring,27.86,49.8,43.71,0.445,378.5,Wet,13.85,634.3,35.92,6407.12,178.37,1,15.850000000000001,6.454097328272487,3,0,1,45.79783393501805,13.874279999999999
14,Summer,42.95,20.7,60.94,0.502,403.1,Wet,14.91,923.6,39.27,6896.21,175.59,1,17.989999999999995,6.829361211554125,0,0,1,61.945003353454055,8.89065
15,Monsoon,28.0,96.2,43.02,0.495,403.6,Wet,18.71,851.7,38.55,8655.53,224.55,1,15.020000000000003,6.748407785748004,1,0,1,45.52111170497061,26.936
16,Summer,36.33,43.6,45.77,0.433,421.1,Membrane,45.86,2341.2,47.43,21003.35,442.84,1,9.440000000000005,7.7588459376080365,0,2,0,51.05102485826428,15.83988
17,Spring,15.65,46.1,34.19,0.417,442.5,Membrane,41.42,1446.5,42.1,18970.36,450.63,1,18.54,7.277593209447151,3,2,0,34.922742636407534,7.214650000000001
18,Summer,31.16,36.2,45.34,0.549,446.5,Steam,22.04,1063.4,46.44,10402.58,224.0,1,14.180000000000003,6.970166539103534,0,1,1,48.24863883847551,11.279920000000002
